datetime,ward_num,forecast_requests
2025-03-15 20:00:00,1,37
2025-03-15 21:00:00,1,34
2025-03-15 22:00:00,1,30
2025-03-15 23:00:00,1,31
2025-03-16 00:00:00,1,29
2025-03-16 01:00:00,1,24
2025-03-16 02:00:00,1,24
2025-03-16 03:00:00,1,27
2025-03-16 04:00:00,1,33
2025-03-16 05:00:00,1,30
2025-03-16 06:00:00,1,30
2025-03-16 07:00:00,1,43
2025-03-16 08:00:00,1,41
2025-03-16 09:00:00,1,41
2025-03-16 10:00:00,1,44
2025-03-16 11:00:00,1,39
2025-03-16 12:00:00,1,41
2025-03-16 13:00:00,1,43
2025-03-16 14:00:00,1,41
2025-03-16 15:00:00,1,41
2025-03-16 16:00:00,1,42
2025-03-16 17:00:00,1,41
2025-03-16 18:00:00,1,41
2025-03-16 19:00:00,1,42
