datetime,ward_num,forecast_requests
2025-03-15 20:00:00,1,43
2025-03-15 21:00:00,1,42
2025-03-15 22:00:00,1,40
2025-03-15 23:00:00,1,40
2025-03-16 00:00:00,1,40
2025-03-16 01:00:00,1,40
2025-03-16 02:00:00,1,40
2025-03-16 03:00:00,1,41
2025-03-16 04:00:00,1,43
2025-03-16 05:00:00,1,43
2025-03-16 06:00:00,1,43
2025-03-16 07:00:00,1,47
2025-03-16 08:00:00,1,49
2025-03-16 09:00:00,1,53
2025-03-16 10:00:00,1,54
2025-03-16 11:00:00,1,48
2025-03-16 12:00:00,1,48
2025-03-16 13:00:00,1,50
2025-03-16 14:00:00,1,45
2025-03-16 15:00:00,1,37
2025-03-16 16:00:00,1,47
2025-03-16 17:00:00,1,43
2025-03-16 18:00:00,1,39
2025-03-16 19:00:00,1,44
2025-03-15 20:00:00,2,58
2025-03-15 21:00:00,2,59
2025-03-15 22:00:00,2,59
2025-03-15 23:00:00,2,58
2025-03-16 00:00:00,2,60
2025-03-16 01:00:00,2,60
2025-03-16 02:00:00,2,60
2025-03-16 03:00:00,2,60
2025-03-16 04:00:00,2,62
2025-03-16 05:00:00,2,59
2025-03-16 06:00:00,2,58
2025-03-16 07:00:00,2,61
2025-03-16 08:00:00,2,60
2025-03-16 09:00:00,2,57
2025-03-16 10:00:00,2,58
2025-03-16 11:00:00,2,59
2025-03-16 12:00:00,2,57
2025-03-16 13:00:00,2,56
2025-03-16 14:00:00,2,59
2025-03-16 15:00:00,2,58
2025-03-16 16:00:00,2,56
2025-03-16 17:00:00,2,58
2025-03-16 18:00:00,2,58
2025-03-16 19:00:00,2,59
2025-03-15 20:00:00,3,74
2025-03-15 21:00:00,3,78
2025-03-15 22:00:00,3,85
2025-03-15 23:00:00,3,83
2025-03-16 00:00:00,3,72
2025-03-16 01:00:00,3,73
2025-03-16 02:00:00,3,78
2025-03-16 03:00:00,3,74
2025-03-16 04:00:00,3,86
2025-03-16 05:00:00,3,96
2025-03-16 06:00:00,3,81
2025-03-16 07:00:00,3,94
2025-03-16 08:00:00,3,119
2025-03-16 09:00:00,3,102
2025-03-16 10:00:00,3,102
2025-03-16 11:00:00,3,112
2025-03-16 12:00:00,3,98
2025-03-16 13:00:00,3,100
2025-03-16 14:00:00,3,104
2025-03-16 15:00:00,3,98
2025-03-16 16:00:00,3,100
2025-03-16 17:00:00,3,101
2025-03-16 18:00:00,3,102
2025-03-16 19:00:00,3,100
2025-03-15 20:00:00,4,92
2025-03-15 21:00:00,4,89
2025-03-15 22:00:00,4,84
