datetime,ward_num,forecast_requests
2025-03-15 21:00:00,w_0,3824
2025-03-15 22:00:00,w_0,3960
2025-03-15 23:00:00,w_0,3992
2025-03-16 00:00:00,w_0,4027
2025-03-16 01:00:00,w_0,4077
2025-03-16 02:00:00,w_0,4077
2025-03-16 03:00:00,w_0,4096
2025-03-16 04:00:00,w_0,4177
2025-03-16 05:00:00,w_0,4315
2025-03-16 06:00:00,w_0,4270
2025-03-16 07:00:00,w_0,4177
2025-03-16 08:00:00,w_0,4128
2025-03-16 09:00:00,w_0,4025
2025-03-16 10:00:00,w_0,3684
2025-03-16 11:00:00,w_0,3584
2025-03-16 12:00:00,w_0,3453
2025-03-16 13:00:00,w_0,3456
2025-03-16 14:00:00,w_0,3015
2025-03-16 15:00:00,w_0,2955
2025-03-16 16:00:00,w_0,2822
2025-03-16 17:00:00,w_0,2637
2025-03-16 18:00:00,w_0,2586
2025-03-16 19:00:00,w_0,2364
2025-03-16 20:00:00,w_0,2368
